"","region_type","region","year","week","weighted_ili","unweighted_ili","age_0_4","age_25_49","age_25_64","age_5_24","age_50_64","age_65","ilitotal","num_of_providers","total_patients","week_start"
"243","National","National",2002,21,0,0,0,0,0,0,0,0,0,0,0,2002-05-19
"244","National","National",2002,22,0,0,0,0,0,0,0,0,0,0,0,2002-05-26
"245","National","National",2002,23,0,0,0,0,0,0,0,0,0,0,0,2002-06-02
"246","National","National",2002,24,0,0,0,0,0,0,0,0,0,0,0,2002-06-09
"247","National","National",2002,25,0,0,0,0,0,0,0,0,0,0,0,2002-06-16
"248","National","National",2002,26,0,0,0,0,0,0,0,0,0,0,0,2002-06-23
"249","National","National",2002,27,0,0,0,0,0,0,0,0,0,0,0,2002-06-30
"250","National","National",2002,28,0,0,0,0,0,0,0,0,0,0,0,2002-07-07
"251","National","National",2002,29,0,0,0,0,0,0,0,0,0,0,0,2002-07-14
"252","National","National",2002,30,0,0,0,0,0,0,0,0,0,0,0,2002-07-21
"253","National","National",2002,31,0,0,0,0,0,0,0,0,0,0,0,2002-07-28
"254","National","National",2002,32,0,0,0,0,0,0,0,0,0,0,0,2002-08-04
"255","National","National",2002,33,0,0,0,0,0,0,0,0,0,0,0,2002-08-11
"256","National","National",2002,34,0,0,0,0,0,0,0,0,0,0,0,2002-08-18
"257","National","National",2002,35,0,0,0,0,0,0,0,0,0,0,0,2002-08-25
"258","National","National",2002,36,0,0,0,0,0,0,0,0,0,0,0,2002-09-01
"259","National","National",2002,37,0,0,0,0,0,0,0,0,0,0,0,2002-09-08
"260","National","National",2002,38,0,0,0,0,0,0,0,0,0,0,0,2002-09-15
"261","National","National",2002,39,0,0,0,0,0,0,0,0,0,0,0,2002-09-22
"262","National","National",2002,40,1.22262,1.16668,582,NA,524,805,NA,149,2060,754,176569,2002-09-29
"263","National","National",2002,41,1.33344,1.2165,683,NA,585,872,NA,127,2267,785,186355,2002-10-06
"264","National","National",2002,42,1.31929,1.13057,642,NA,543,878,NA,113,2176,831,192469,2002-10-13
"265","National","National",2002,43,1.49484,1.25246,728,NA,672,1045,NA,154,2599,863,207512,2002-10-20
"266","National","National",2002,44,1.47195,1.30237,823,NA,741,1189,NA,154,2907,909,223208,2002-10-27
"267","National","National",2002,45,1.58094,1.40551,887,NA,886,1272,NA,180,3225,930,229454,2002-11-03
"268","National","National",2002,46,1.49426,1.38437,851,NA,898,1173,NA,175,3097,923,223712,2002-11-10
"269","National","National",2002,47,1.40569,1.32563,802,NA,817,1166,NA,182,2967,922,223818,2002-11-17
"270","National","National",2002,48,1.6141,1.43475,834,NA,711,978,NA,186,2709,918,188814,2002-11-24
"271","National","National",2002,49,1.45967,1.25433,857,NA,869,1117,NA,206,3049,937,243078,2002-12-01
"272","National","National",2002,50,1.59896,1.25757,804,NA,792,1179,NA,182,2957,928,235136,2002-12-08
"273","National","National",2002,51,2.16697,1.58017,951,NA,849,1404,NA,212,3416,908,216179,2002-12-15
"274","National","National",2002,52,2.57842,1.98008,915,NA,828,937,NA,177,2857,865,144287,2002-12-22
"275","National","National",2003,1,2.38636,1.90428,1028,NA,962,1019,NA,251,3260,879,171193,2002-12-29
"276","National","National",2003,2,1.73621,1.5901,1068,NA,1091,1296,NA,274,3729,926,234513,2003-01-05
"277","National","National",2003,3,2.06296,1.81559,1154,NA,1011,1798,NA,241,4204,902,231550,2003-01-12
"278","National","National",2003,4,2.58113,2.41801,1373,NA,1104,2998,NA,221,5696,927,235566,2003-01-19
"279","National","National",2003,5,2.93909,2.86635,1411,NA,1322,4064,NA,282,7079,884,246969,2003-01-26
"280","National","National",2003,6,3.22539,3.16662,1606,NA,1421,4447,NA,308,7782,889,245751,2003-02-02
"281","National","National",2003,7,3.06982,3.0155,1568,NA,1566,4224,NA,291,7649,903,253656,2003-02-09
